interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
cDCs|pDCs|LGALS9|SLC1A5,cDCs,pDCs,LGALS9,SLC1A5,16,0.05781882367968386,-0.45081509291376876,0.5381086676060554,0.8315675439747089,0.9539193416309332
cDCs|IFN-stimulated T Cells|ADAM28|ITGA4,cDCs,IFN-stimulated T Cells,ADAM28,ITGA4,24,0.04584926012307651,-0.3642918786512584,0.4410941857346029,0.8315334444927575,0.9539193416309332
CD4 T Cells|NK Cells|LGALS9|HAVCR2,CD4 T Cells,NK Cells,LGALS9,HAVCR2,24,-0.04569924331485217,-0.4409730950775958,0.3644222529882983,0.8320770058879081,0.954419724661707
NK Cells|Non-classical Monocytes|HSPA8|LDLR,NK Cells,Non-classical Monocytes,HSPA8,LDLR,20,0.05054452301183198,-0.4009515091161359,0.4822848913391729,0.8324020364116459,0.9547084893362904
CD4 T Cells|CD4 T Cells|TGFB1|CXCR4,CD4 T Cells,CD4 T Cells,TGFB1,CXCR4,31,0.039444165270129124,-0.31936564317690114,0.3883621438198729,0.8331427326909607,0.9550535434665935
Classical Monocytes|pDCs|NUCB2|ERAP1,Classical Monocytes,pDCs,NUCB2,ERAP1,5,-0.13157894736842107,-0.9083966728395474,0.849285321542516,0.8329531569240444,0.9550535434665935
pDCs|Classical Monocytes|APP|LRP1,pDCs,Classical Monocytes,APP,LRP1,20,0.05036803335281435,-0.4010999934329571,0.48214909567717923,0.8329793481319907,0.9550535434665935
Classical Monocytes|CD4 T Cells|PSEN1|CD44,Classical Monocytes,CD4 T Cells,PSEN1,CD44,31,-0.039444165270129124,-0.3883621438198729,0.31936564317690114,0.8331427326909607,0.9550535434665935
B Cells|pDCs|HSPA8|LDLR,B Cells,pDCs,HSPA8,LDLR,5,0.13157894736842107,-0.849285321542516,0.9083966728395474,0.8329531569240444,0.9550535434665935
Classical Monocytes|NK Cells|CD14|ITGA4,Classical Monocytes,NK Cells,CD14,ITGA4,31,0.039444165270129124,-0.31936564317690114,0.3883621438198729,0.8331427326909607,0.9550535434665935
