interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Classical Monocytes|B Cells|LGALS9|PTPRC,Classical Monocytes,B Cells,LGALS9,PTPRC,7,0.9189562119494703,0.5386653902894522,0.9881725382144955,0.003436626156217534,0.6028169555548537
pDCs|Classical Monocytes|ACTR2|LDLR,pDCs,Classical Monocytes,ACTR2,LDLR,7,0.900937462695559,0.45989297948985575,0.9854260208889527,0.00562058671534502,0.6028169555548537
Classical Monocytes|B Cells|CD99|CD81,Classical Monocytes,B Cells,CD99,CD81,6,-0.8986451052612952,-0.9889560311203527,-0.32168663662308394,0.014888622005580315,0.6028169555548537
Non-classical Monocytes|Non-classical Monocytes|ICAM2|ITGAM_ITGB2,Non-classical Monocytes,Non-classical Monocytes,ICAM2,ITGAM_ITGB2,7,0.8151238417997327,0.16070606506243507,0.9717120835956394,0.025481771465468355,0.6028169555548537
NK Cells|CD4 T Cells|CALM1|PTPRA,NK Cells,CD4 T Cells,CALM1,PTPRA,7,0.900937462695559,0.45989297948985575,0.9854260208889527,0.00562058671534502,0.6028169555548537
Non-classical Monocytes|Classical Monocytes|ARPC5|LDLR,Non-classical Monocytes,Classical Monocytes,ARPC5,LDLR,7,-0.8829187134416479,-0.982634733999806,-0.3875000022962168,0.008450342381896615,0.6028169555548537
Non-classical Monocytes|CD8 T Cells|PSEN1|CD44,Non-classical Monocytes,CD8 T Cells,PSEN1,CD44,7,-0.8829187134416479,-0.982634733999806,-0.3875000022962168,0.008450342381896615,0.6028169555548537
Non-classical Monocytes|NK Cells|ICAM2|ITGAM_ITGB2,Non-classical Monocytes,NK Cells,ICAM2,ITGAM_ITGB2,6,0.8574929257125441,0.15102494185908122,0.9841661563592792,0.029015363531383804,0.6028169555548537
pDCs|CD4 T Cells|LGALS9|CD44,pDCs,CD4 T Cells,LGALS9,CD44,7,0.792824967172092,0.09866983040838241,0.967966815790754,0.03344354374054152,0.6028169555548537
CD8 T Cells|Classical Monocytes|ACTR2|LDLR,CD8 T Cells,Classical Monocytes,ACTR2,LDLR,7,0.8090398349558906,0.14325120352624365,0.9706979814823802,0.027534180514511123,0.6028169555548537
