group,names,scores,logfoldchanges,pvals,pvals_adj
12,NT5C3A,27.796486,2.6120942,4.783464230456265e-170,3.846204207801241e-167
12,SP100,24.383718,1.8106996,2.5456880483908793e-131,1.6375138371274332e-128
12,MX2,24.045805,2.4270685,9.235396622404656e-128,5.65777988320171e-125
12,C19orf66,24.02156,2.2265139,1.6555749966067026e-127,9.681351059702376e-125
12,EVL,23.88417,1.2634075,4.473570911434517e-126,2.5022821641567416e-123
13,ITM2C,46.10331,6.3268676,0.0,0.0
13,SEC61B,42.56631,3.553264,0.0,0.0
13,TXN,42.11315,3.887108,0.0,0.0
13,IGJ,41.445095,5.6270337,0.0,0.0
13,PLD4,41.367863,7.2947726,0.0,0.0
13,IRF8,40.529827,5.226782,0.0,0.0
13,IRF7,40.421974,4.4508114,0.0,0.0
13,TCF4,39.57658,5.820356,0.0,0.0
13,CD74,39.004982,3.7163146,0.0,0.0
13,PPP1R14B,38.966488,6.508433,0.0,0.0
13,NPC2,38.92709,3.477177,0.0,0.0
13,SERPINF1,38.890812,7.7076,0.0,0.0
13,CCDC50,38.791508,5.446016,0.0,0.0
13,C12orf75,38.656204,4.119732,0.0,0.0
13,ALOX5AP,38.617096,4.157102,0.0,0.0
13,PLAC8,38.328575,3.107429,0.0,0.0
13,APP,38.238396,5.043821,0.0,0.0
13,GZMB,38.0286,5.168144,0.0,0.0
13,STMN1,37.62403,4.14683,8.7006834313472e-310,5.891278544435892e-307
13,MZB1,37.14728,5.1349177,4.850020966323649e-302,3.119775986587687e-299
