sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029927_JB18074,8,cDCs,False,41
GSM4029927_JB18074,9,RBCs,True,52
GSM4029928_JB18075,0,Ribosomal/Low-quality,True,476
GSM4029928_JB18075,1,Ribosomal/Low-quality,True,472
GSM4029928_JB18075,10,Platelets,True,12
GSM4029928_JB18075,11,Plasma Cells,False,5
GSM4029928_JB18075,12,IFN-stimulated T Cells,False,14
GSM4029928_JB18075,13,pDCs,False,13
GSM4029928_JB18075,2,Classical Monocytes,False,1579
GSM4029928_JB18075,3,B Cells,False,159
GSM4029928_JB18075,4,CD4 T Cells,False,333
GSM4029928_JB18075,5,CD8 T Cells,False,560
GSM4029928_JB18075,6,NK Cells,False,230
GSM4029928_JB18075,7,Non-classical Monocytes,False,548
GSM4029928_JB18075,8,cDCs,False,59
GSM4029928_JB18075,9,RBCs,True,212
GSM4029929_JB18076,0,Ribosomal/Low-quality,True,1293
GSM4029929_JB18076,1,Ribosomal/Low-quality,True,1204
GSM4029929_JB18076,10,Platelets,True,33
GSM4029929_JB18076,11,Plasma Cells,False,15
GSM4029929_JB18076,12,IFN-stimulated T Cells,False,14
GSM4029929_JB18076,13,pDCs,False,20
GSM4029929_JB18076,2,Classical Monocytes,False,389
GSM4029929_JB18076,3,B Cells,False,150
GSM4029929_JB18076,4,CD4 T Cells,False,607
GSM4029929_JB18076,5,CD8 T Cells,False,1374
GSM4029929_JB18076,6,NK Cells,False,298
GSM4029929_JB18076,7,Non-classical Monocytes,False,114
GSM4029929_JB18076,8,cDCs,False,32
GSM4029929_JB18076,9,RBCs,True,4
GSM4029930_JB18077,0,Ribosomal/Low-quality,True,2708
GSM4029930_JB18077,1,Ribosomal/Low-quality,True,1869
GSM4029930_JB18077,10,Platelets,True,18
GSM4029930_JB18077,11,Plasma Cells,False,26
GSM4029930_JB18077,12,IFN-stimulated T Cells,False,6
GSM4029930_JB18077,13,pDCs,False,15
GSM4029930_JB18077,2,Classical Monocytes,False,249
GSM4029930_JB18077,3,B Cells,False,943
GSM4029930_JB18077,4,CD4 T Cells,False,938
GSM4029930_JB18077,5,CD8 T Cells,False,524
GSM4029930_JB18077,6,NK Cells,False,238
GSM4029930_JB18077,7,Non-classical Monocytes,False,118
GSM4029930_JB18077,8,cDCs,False,41
GSM4029930_JB18077,9,RBCs,True,12
GSM4029931_JB18078,0,Ribosomal/Low-quality,True,2312
GSM4029931_JB18078,1,Ribosomal/Low-quality,True,1855
GSM4029931_JB18078,10,Platelets,True,32
GSM4029931_JB18078,11,Plasma Cells,False,17
GSM4029931_JB18078,12,IFN-stimulated T Cells,False,15
GSM4029931_JB18078,13,pDCs,False,35
GSM4029931_JB18078,2,Classical Monocytes,False,298
GSM4029931_JB18078,3,B Cells,False,806
GSM4029931_JB18078,4,CD4 T Cells,False,626
GSM4029931_JB18078,5,CD8 T Cells,False,298
GSM4029931_JB18078,6,NK Cells,False,427
GSM4029931_JB18078,7,Non-classical Monocytes,False,213
GSM4029931_JB18078,8,cDCs,False,69
GSM4029931_JB18078,9,RBCs,True,22
GSM4029932_JB18079,0,Ribosomal/Low-quality,True,2386
GSM4029932_JB18079,1,Ribosomal/Low-quality,True,1857
GSM4029932_JB18079,10,Platelets,True,12
GSM4029932_JB18079,11,Plasma Cells,False,24
GSM4029932_JB18079,12,IFN-stimulated T Cells,False,1
GSM4029932_JB18079,13,pDCs,False,14
GSM4029932_JB18079,2,Classical Monocytes,False,536
GSM4029932_JB18079,3,B Cells,False,607
GSM4029932_JB18079,4,CD4 T Cells,False,887
GSM4029932_JB18079,5,CD8 T Cells,False,263
GSM4029932_JB18079,6,NK Cells,False,526
GSM4029932_JB18079,7,Non-classical Monocytes,False,306
GSM4029932_JB18079,8,cDCs,False,60
GSM4029932_JB18079,9,RBCs,True,1
GSM4029933_JB18080,0,Ribosomal/Low-quality,True,1351
GSM4029933_JB18080,1,Ribosomal/Low-quality,True,1057
GSM4029933_JB18080,10,Platelets,True,12
GSM4029933_JB18080,11,Plasma Cells,False,9
GSM4029933_JB18080,12,IFN-stimulated T Cells,False,75
GSM4029933_JB18080,13,pDCs,False,10
GSM4029933_JB18080,2,Classical Monocytes,False,454
GSM4029933_JB18080,3,B Cells,False,246
GSM4029933_JB18080,4,CD4 T Cells,False,542
