group,names,scores,logfoldchanges,pvals,pvals_adj
5,NPC2,93.479576,3.3876972,0.0,0.0
5,SERPINA1,92.52726,4.228371,0.0,0.0
5,OAZ1,92.45643,1.8963075,0.0,0.0
5,CTSS,92.181244,3.6206968,0.0,0.0
5,TYROBP,91.505325,4.2482514,0.0,0.0
6,GNLY,107.93024,7.1607933,0.0,0.0
6,NKG7,102.25099,5.597357,0.0,0.0
6,CTSW,98.99392,4.243668,0.0,0.0
6,PRF1,92.67239,5.046541,0.0,0.0
6,CST7,90.965195,4.276637,0.0,0.0
6,GZMB,90.878944,5.259048,0.0,0.0
6,GZMA,89.12309,4.2397556,0.0,0.0
6,KLRF1,87.92097,6.3678393,0.0,0.0
6,HOPX,86.17083,4.4447293,0.0,0.0
6,CD7,85.71422,3.0613053,0.0,0.0
6,KLRB1,78.48398,3.8222244,0.0,0.0
6,IFITM2,77.37745,2.232,0.0,0.0
6,PFN1,75.73899,1.2818379,0.0,0.0
6,B2M,74.5165,0.78276044,0.0,0.0
6,KLRD1,73.9044,4.222002,0.0,0.0
6,FGFBP2,72.819405,4.3381934,0.0,0.0
6,SPON2,72.07942,5.0284367,0.0,0.0
6,CMC1,71.92438,4.2410765,0.0,0.0
6,HCST,70.064644,1.8822302,0.0,0.0
6,HLA-A,68.66456,1.0246226,0.0,0.0
7,GZMK,86.98413,5.523401,0.0,0.0
7,CCL5,84.04639,4.3354993,0.0,0.0
7,DUSP2,80.97308,3.0924938,0.0,0.0
7,GZMA,70.38285,3.2663014,0.0,0.0
7,NKG7,66.22698,3.2818878,0.0,0.0
7,CST7,64.76686,2.9345627,0.0,0.0
7,IL32,63.733032,2.0718806,0.0,0.0
7,CXCR4,58.42093,1.558976,0.0,0.0
7,LYAR,57.38385,2.797112,0.0,0.0
7,B2M,54.07256,0.5534979,0.0,0.0
7,CTSW,53.547047,2.168195,0.0,0.0
7,ZFP36L2,52.61417,1.356129,0.0,0.0
7,HLA-A,52.309967,0.79307634,0.0,0.0
7,HLA-C,51.475536,0.84048194,0.0,0.0
7,JUN,50.93811,1.7399135,0.0,0.0
7,HLA-B,47.164196,0.80768454,0.0,0.0
7,HCST,47.02265,1.312884,0.0,0.0
7,CMC1,46.15385,2.9750085,0.0,0.0
7,CD3D,46.04018,1.4998933,0.0,0.0
7,CD3E,43.442345,1.3914663,0.0,0.0
8,CD74,92.84283,4.8601685,0.0,0.0
8,CD79A,89.931496,7.897766,0.0,0.0
8,HLA-DRA,88.59608,5.1327267,0.0,0.0
8,HLA-DPB1,85.281815,4.0946975,0.0,0.0
