cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029902_JB17007,restored,CD4 T Cells,661,930.0,2652.0,1.1380400421496313,0.0565693430656934,43.85965,0.9794078603617724,0.3267776096822995,0.0015128593040847202,1.0,0.886535552193646
child,GSM4029902_JB17007,restored,CD8 T Cells,285,1043.0,3376.0,1.524390243902439,0.0646766169154229,44.93252,0.9646632055916148,0.36140350877192984,0.4807017543859649,1.0,0.8385964912280702
child,GSM4029903_JB17008,excluded_unrestored,Ribosomal/Low-quality,856,895.0,2749.5,1.571056812936314,0.0636015325670498,44.951092,0.8757612308545094,0.04322429906542056,0.14485981308411214,0.0,0.5677570093457944
child,GSM4029903_JB17008,original_T,CD4 T Cells,774,1148.5,3411.0,1.4231878009558006,0.0792520035618878,38.254165,0.7579914723020525,0.059431524547803614,0.08397932816537468,0.6149870801033591,0.4560723514211886
child,GSM4029903_JB17008,original_T,CD8 T Cells,960,1053.0,2590.0,1.881158177941523,0.0468948035487959,25.509017,0.680039091882735,0.03854166666666667,0.4552083333333333,0.46875,0.39479166666666665
child,GSM4029903_JB17008,other,B Cells,547,860.0,2649.0,2.260828177058544,0.0183100501831005,40.268456,0.7583702692792638,0.9140767824497258,0.0018281535648994515,0.0,0.4405850091407678
child,GSM4029903_JB17008,other,Classical Monocytes,229,1101.0,2843.0,3.966005665722379,0.0231591448931116,18.991383,0.939977060139753,1.0,0.0,0.0,0.7510917030567685
child,GSM4029903_JB17008,other,IFN-stimulated T Cells,44,1017.0,3156.5,1.315791681899673,0.05358444212229285,41.278615,0.9360834770364902,0.06818181818181818,0.20454545454545456,0.6590909090909091,0.7045454545454546
child,GSM4029903_JB17008,other,NK Cells,492,1073.0,2489.0,2.1702508201218085,0.0340184266477675,21.8804665,0.5722322132053816,0.03048780487804878,0.1443089430894309,0.16869918699186992,0.27235772357723576
child,GSM4029903_JB17008,other,Non-classical Monocytes,111,1453.0,4441.0,2.781289506953224,0.0500878734622144,18.213356,0.9851109286561176,1.0,0.009009009009009009,0.0,0.8198198198198198
child,GSM4029903_JB17008,other,Plasma Cells,6,3914.0,22956.5,2.297364336393562,0.17929898571870984,26.089887,0.8652675946167759,1.0,0.0,0.0,0.6666666666666666
child,GSM4029903_JB17008,other,Platelets,11,1518.0,4244.0,3.243723616974006,0.1330698287220026,20.597933,0.7041923579980915,1.0,0.18181818181818182,0.0,0.36363636363636365
child,GSM4029903_JB17008,other,RBCs,19,343.0,6204.0,0.0577784197602195,0.0856604957640414,4.890679,0.2116963120199476,0.05263157894736842,0.0,0.0,0.0
child,GSM4029903_JB17008,other,cDCs,12,2172.5,8471.0,2.364457988786919,0.1101855357819007,23.937114,0.562928902145871,1.0,0.0,0.0,0.25
child,GSM4029903_JB17008,other,pDCs,8,1725.5,5706.0,1.928134020153041,0.0721703100548978,31.6177325,0.9586168915922393,0.25,0.0,0.0,0.75
child,GSM4029903_JB17008,restored,CD4 T Cells,1091,924.0,2892.0,1.389998402300687,0.0735004224162207,46.25323,0.9637357257977002,0.03024747937671861,0.007332722273143905,1.0,0.8148487626031164
child,GSM4029903_JB17008,restored,CD8 T Cells,883,1065.0,3526.0,1.7308266189197254,0.0683096705062951,46.03668,0.9496756087591708,0.052095130237825596,0.49943374858437145,1.0,0.8278595696489242
child,GSM4029904_JB17015,excluded_unrestored,Ribosomal/Low-quality,1688,773.0,3192.0,4.190976179506454,0.044569311096614245,55.1223175,0.9404914044216234,0.42713270142180093,0.10545023696682465,0.0,0.715047393364929
child,GSM4029904_JB17015,original_T,CD4 T Cells,849,944.0,3790.0,3.911923167018037,0.0554294975688816,50.873177,0.7584796692144125,0.5064782096584217,0.011778563015312132,0.5712603062426383,0.4381625441696113
child,GSM4029904_JB17015,original_T,CD8 T Cells,707,875.0,2681.0,5.615724027276374,0.0196987253765932,38.233215,0.5058309325574502,0.4243281471004243,0.22913719943422914,0.3026874115983027,0.26166902404526166
child,GSM4029904_JB17015,other,B Cells,1339,818.0,3118.0,5.18722088629337,0.0201656113005358,50.51306,0.8912023617311057,0.9761015683345781,0.0007468259895444362,0.0014936519790888724,0.6915608663181478
child,GSM4029904_JB17015,other,Classical Monocytes,2574,1008.5,2838.5,7.28012219692226,0.0337738619676945,26.016552500000003,0.9894812892411897,1.0,0.001554001554001554,0.001554001554001554,0.9234654234654235
